_id,package,accessibility,completeness,freshness,metadata,usability,score,score_norm,grade,grade_norm,recorded_at
186,air-conditioned-and-cool-spaces-heat-relief-network,1,0.69,0.5,0.84,0.86,0.78,0.76,Silver,Silver,2019-12-17T20:24:09
187,air-conditioned-public-places-cooling-centres,1,1,0,0.25,0.85,0.54,0.31,Bronze,Bronze,2019-12-17T20:24:09
188,annual-summary-of-reportable-communicable-diseases,1,0.98,1,0.25,0.69,0.66,0.52,Bronze,Bronze,2019-12-17T20:24:09
189,apartment-building-evaluation,1,0.96,1,0.75,0.94,0.91,1,Gold,Gold,2019-12-17T20:24:09
190,apartment-building-registration,1,0.83,1,0.75,0.87,0.87,0.92,Gold,Gold,2019-12-17T20:24:09
191,bicycle-parking-bike-stations-indoor,1,0.79,1,0.12,0.83,0.7,0.59,Bronze,Bronze,2019-12-17T20:24:09
192,bicycle-parking-high-capacity-outdoor,1,0.77,1,0.12,0.85,0.7,0.6,Silver,Silver,2019-12-17T20:24:09
193,bicycle-parking-racks,1,0.84,1,0.12,0.86,0.71,0.63,Silver,Silver,2019-12-17T20:24:09
194,bicycle-shops,1,0.75,0,0.25,0.84,0.55,0.31,Bronze,Bronze,2019-12-17T20:24:09
195,bodysafe,1,0.69,1,0.61,0.59,0.71,0.62,Silver,Silver,2019-12-17T20:24:09
196,building-permits-green-roofs,1,0.92,1,0.12,0.91,0.74,0.68,Silver,Silver,2019-12-17T20:24:09
197,building-permits-pool-enclosures,1,0.99,1,0.12,0.9,0.75,0.69,Silver,Silver,2019-12-17T20:24:09
198,building-permits-signs,1,0.95,1,0.12,0.89,0.74,0.67,Silver,Silver,2019-12-17T20:24:09
199,building-permits-solar-hot-water-heaters,1,0.98,1,0.12,0.8,0.71,0.62,Silver,Silver,2019-12-17T20:24:09
200,business-improvement-areas,1,0.94,0.5,0.12,0.8,0.61,0.44,Bronze,Bronze,2019-12-17T20:24:09
201,business-incubation,1,1,0,0.12,0.94,0.55,0.31,Bronze,Bronze,2019-12-17T20:24:09
202,catalogue-quality-scores,1,1,1,1,0.62,0.82,0.83,Gold,Gold,2019-12-17T20:24:09
203,chemical-tracking-chemtrac,1,0.9,1,0.12,0.88,0.73,0.65,Silver,Silver,2019-12-17T20:24:09
204,city-council-and-committees-meeting-schedule-reports,1,1,0,0.12,0.92,0.54,0.3,Bronze,Bronze,2019-12-17T20:24:09
